Title , Description , Location , Start_Time , End_Time
OCTANe's Coffee @ The Cove,Held on the second Tuesday of every month  OCTANe invites you to mingle and get to know your fellow members of the innovation community before getting your day started. . Coffee and light breakfast provided.. Time: 7:30-8:30am. Location: The Cove and UCI Applied Innovation. 5141 California Ave  Suite 200. Irvine  CA. Questions: Austin@OCTANeOC.org. . To RSVP  CLICK HERE,5141 California Ave  Irvine  CA  92617  United States,2017-03-14 07:30:00-07:00,2017-03-14 08:30:00-07:00
Becoming Investor Ready: How to Prepare for the Investor Audition,Determine how investable your business is and what it will take to be at the front of the line for those that have money  and learn what to do if you don’t get the money. You will look into the mind of two seasoned investors and learn what it takes to become investor ready and get funded. Learn about the investment process and investor expectations at each stage. This is a must attend workshop for anyone ready to traverse the funding maze. . . To register  CLICK HERE,5141 California Ave  Irvine  CA  92617  United States,2017-03-13 17:00:00-07:00,2017-03-13 18:30:00-07:00
Inventors Forum,TOPIC: Presenting to an Investment Panel . . . About the Speaker:. . John Bradley Jackson is Director for The Center for Entrepreneurship and Professor of Entrepreneurship at California State University  Fullerton.. . To register  CLICK HERE,5141 California Ave  Irvine  CA  92617  United States,2017-03-10 19:00:00-08:00,2017-03-10 21:00:00-08:00
SBIR/STTR Workshop,"SBIR/STTR Workshop run by TriTech . . TriTech SBDC and UCI's ""The Cove"" are working together to bring you a complimentary workshop that provides a detailed overview of the Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR) programs. Small technology based organizations are eligible to apply for the funds available under these programs. This workshop provides an overview of the eligibility considerations  information about the programs  and hints for success in obtaining SBIR or STTR funds. This workshop will focus on the SBIR and STTR programs sponsored by federal agencies  such as the Department of Energy  National Science Foundation  National Institutes of Health  and the Department of Defense.. . To Register  CLICK HERE. ",5141 California Ave  Irvine  CA  92617  United States,2017-03-10 15:00:00-08:00,2017-03-10 17:00:00-08:00
Lunch and Learn with Jahnavi Lokre,The Lunch & Learn event is an opportunity for Experts-in-Residence (EiRs) to present informal talks and Q&As with startup teams working at the Cove. The talks will cover such diverse topics as branding  marketing  pitching mistakes to avoid  investor relations  and prototyping. Check-in 11:30 am Open to UCI students  staff & faculty  alumni  startups  spinoffs & Cove EiRs. ,5141 California Ave  Irvine  CA  92617  United States,2017-03-10 12:00:00-08:00,2017-03-10 13:00:00-08:00
Cyber Attacks and Defenses: Trends  Challenges  and Outlook,"A cyber attacker needs to find only one way in  while defenders need to guard a lot of ground. Adversaries can fully debug and perfect their attacks on their own computers  exactly replicating the environment that they will later be targeting. This is the situation today  which has been exacerbated by an increasing trend towards a software ""monoculture"" (in which there are only two major desktop operating systems and two major phone operating systems  one major office software suite  and so on). . . One possible defense is software diversity  which raises the bar to attackers. A lot of academic and industrial research is currently investigating such software diversity  from simple ASLR (address space layout randomization) to more complex whole-program randomization. In the latter  a diversification engine automatically generates a large number of different versions of the same program  potentially one unique version for every computer. These all behave in exactly the same way from the perspective of the end-user  but they implement their functionality in subtly different ways. As a result  a specific attack will succeed on only a small fraction of targets and a large number of different attack vectors would be needed to take over a significant percentage of them. Because an attacker has no way of knowing a priori which specific attack will succeed on which specific target  this method also very significantly increases the cost of attacks directed at specific targets. . . . Unfortunately  attackers have now started assembling their attacks on the target itself  circumventing diversity. Hence  in the arms race between attackers and defenders  we are already at the point where yet another set of defenses is needed  before the previous one is even fully deployed across the software industry.  . . . My talk will present a time-line of attacks and defenses  clearly illustrating a ""cat and mouse game"" in which defenses are almost always reactive to attacks that have already happened.  I will discuss his vision of how to get ahead of the attackers  and close by stating why  in spite of the bleak situation today  I am confident that we will eventually be able to stop most kinds of cyber attacks completely. . . For speaker information and to register  CLICK HERE",5141 California Ave  Irvine  CA  92617  United States,2017-03-08 18:30:00-08:00,2017-03-08 20:30:00-08:00
One Million Cups Irvine,1 Million Cups is a unique event every Wednesday morning from 8am-9am at The Cove  where we provide free coffee and tea. . . . The two startups give a 6 minute presentation spot  then give the live audience of 50+ people 20 minutes to ask questions  give feedback  and act as a focus group with the intention to help the presenting startups grow!. The audience is comprised of investors  entrepreneurs  students  community members  service providers  etc. They all have one thing in common (aside from wanting free coffee and tea)  and that is to help give advice and feedback to startups.. . If you are interested in being a presenter  please feel free to apply at http://www.1millioncups.com/irvine,5141 California Ave  Irvine  CA  92617  United States,2017-03-08 08:00:00-08:00,2017-03-08 09:00:00-08:00
New Years Holiday,None,None,2017-01-01 00:00:01,2017-01-01 23:59:59
Independence Day,None,None,2017-07-04 00:00:01,2017-07-04 23:59:59
Veterans Day Holiday,None,None,2017-11-11 00:00:01,2017-11-11 23:59:59
Christmas Holiday,None,None,2017-12-24 00:00:01,2017-12-24 23:59:59
Christmas Holiday,None,None,2017-12-25 00:00:01,2017-12-25 23:59:59
New Years Holiday,None,None,2017-12-31 00:00:01,2017-12-31 23:59:59
Statistics Seminar -Michele Guindani  UCI,None,6011 Bren Hall (Bldg #314 on campus map),2017-01-12 16:00:00,2017-01-12 17:00:00
CS Seminar Series Speaker - Dr. Barath Raghavan  ICSI - UC Berkeley. Title: Frontier Networks: Context  Challenges  and Connectivity,None,Donald Bren Hall 6011 ,2017-01-13 11:00:00,2017-01-13 12:00:00
FRIDAY INFORMATICS SEMINAR - Chancellor's Professor Paul Dourish  Department of Informatics  UC Irvine ,None,6011 Donald Bren Hall ,2017-01-13 14:00:00,2017-01-13 16:00:00
Statistics Seminar -Fletcher Christensen  Ph.D. Candidate  Statistics  UCI,None,6011 Bren Hall (Bldg #314 on campus map),2017-01-19 16:00:00,2017-01-19 17:00:00
Global Game Jam,None,Donald Bren Hall ,2017-01-20 00:00:01,2017-01-20 23:59:59
NetSys Seminar Series Speaker: Dr. Kath Knobe  Rice University  Title:CnC: A dependence programming language,None,DBH 6011 ,2017-01-20 11:00:00,2017-01-20 12:00:00
ISR Distinguished Speaker: Mark S. Miller,None,DBH 6011 ,2017-01-20 14:00:00,2017-01-20 15:00:00
Global Game Jam,None,Donald Bren Hall ,2017-01-21 00:00:01,2017-01-21 23:59:59
Global Game Jam,None,Donald Bren Hall ,2017-01-22 00:00:01,2017-01-22 23:59:59
Game Developers Week,None,6011 Bren Hall ,2017-01-23 19:00:00,2017-01-23 20:15:00
Game Developers Week,None,6011 Bren Hall ,2017-01-24 19:00:00,2017-01-24 20:15:00
Game Developers Week,None,6011 Bren Hall ,2017-01-25 19:00:00,2017-01-25 20:15:00
Statistics Seminar - Sheng Zhong Professor  Bioengineering UC San Diego,None,6011 Bren Hall (Bldg #314 on campus map),2017-01-26 16:00:00,2017-01-26 17:00:00
Game Developers Week,None,6011 Bren Hall ,2017-01-26 19:00:00,2017-01-26 20:15:00
  Dr. Ruslan Salakhutdinov       UCI Machine Learning Distinguished Speaker  Carnegie Mellon University      Learning Deep Unsupervised and Multimodal Models,None,DBH 6011 ,2017-01-27 11:00:00,2017-01-27 12:00:00
CANCELLED*****FRIDAY INFORMATICS SEMINAR - Assistant Professor Jina Huh  UC San Diego,None,6011 Donald Bren Hall ,2017-01-27 14:00:00,2017-01-27 16:00:00
Game Developers Week,None,6011 Bren Hall ,2017-01-27 19:00:00,2017-01-27 20:15:00
Statistics Seminar -  Sam Behseta  Professor  Department of Mathematics Director  Center for Computational and Applied Mathematics (CCAM) California State University  Fullerton,None,6011 Bren Hall (Bldg #314 on campus map),2017-02-02 16:00:00,2017-02-02 17:00:00
Women in Gaming,None,UCI Student Center  Crystal Cove ,2017-02-02 18:00:00,2017-02-02 20:00:00
FRIDAY INFORMATICS SEMINAR - Assistant Professor Sean Munson  University of Washington,None,6011 Donald Bren Hall ,2017-02-03 14:00:00,2017-02-03 16:00:00
ISG Seminar Speaker Series: Speaker: Alastair Beresford  Cambridge University,None,Donald Bren Hall 3011 Host: Mike Carey,2017-02-03 15:00:00,2017-02-03 16:00:00
Statistics Seminar -  Alberto Cassese Assistant Professor  Maastricht University,None,6011 Bren Hall (Bldg #314 on campus map),2017-02-09 16:00:00,2017-02-09 17:00:00
Distinguished Lecture Series Talk: Wen-mei W. Hwu  AMD Jerry Sanders Chair of Electrical and Computer Engineering  University of Illinois at Urbana-Champaign. Title of Talk: Innovative Applications an dTechnology Pivots - A Perfect Storm in Computing,None,DBH 6011 ,2017-02-10 11:00:00,2017-02-10 12:00:00
FRIDAY INFORMATICS SEMINAR - Assistant Professor Otavio Lemos  Federal University of São Paulo  Brazil,None,6011 Donald Bren Hall ,2017-02-10 14:00:00,2017-02-10 16:00:00
AI/ML Seminar Series Speaker: Qi Lou  PhD Candidate  Department of Computer Science  University of California  Irvine Title of Talk: Anytime Anyspace AND/OR Search for Bounding the Partition Function,None,Donald Bren Hall 4011 Host: Alex Ihler,2017-02-13 13:00:00,2017-02-13 14:00:00
Big Data in Brain Science,None,Calit2 Auditorium ,2017-02-16 13:00:00,2017-02-16 17:30:00
Statistics Seminar -  Naomi Kaplan-Damary  Department of Statistics Hebrew University of Jerusalem,None,6011 Bren Hall (Bldg #314 on campus map),2017-02-16 16:00:00,2017-02-16 17:00:00
Tech Meets Pride ,None,Bren Hall 6011 ,2017-02-16 18:00:00,2017-02-16 20:00:00
Big Data in Brain Science,None,Calit2 Auditorium ,2017-02-17 13:00:00,2017-02-17 17:30:00
FRIDAY INFORMATICS SEMINAR - Assistant Professor Jaime Snyder  University of Washington    ,None,5011 Donald Bren Hall ,2017-02-17 14:00:00,2017-02-17 16:00:00
Statistics Seminar -  Matthew Harding Associate Professor  Economics UC Irvine,None,6011 Bren Hall (Bldg #314 on campus map),2017-02-23 16:00:00,2017-02-23 17:00:00
Distinguished Lecture Series Talk: Patrick McDaniel  Distinguished Professor  Electrical Engineering and Computer Science  Pennsylvania State University. Title of Talk: Tracing the Arc of Smartphone Application Security,None,DBH 6011 ,2017-02-24 11:00:00,2017-02-24 12:00:00
FRIDAY INFORMATICS SEMINAR - Assistant Research Professor Nadir Weibel  UC San Diego    ,None,6011 Donald Bren Hall ,2017-02-24 14:00:00,2017-02-24 16:00:00
AI/ML Seminar Series Talks: Speaker: Eric Nalisnick  PhD Candidate  Department of Computer Science  University of California  Irvine,None,Donald Bren Hall 4011 Host: Alex Ihler,2017-02-27 13:00:00,2017-02-27 14:00:00
Board Games Reclaimed,None,Evoke Lab (Room 2100)  Calit2 Building  UCI ,2017-02-27 13:00:00,2017-02-27 17:00:00
Statistics Seminar -  Roman Vershynin Professor of Mathematics University of Michigan,None,6011 Bren Hall (Bldg #314 on campus map),2017-03-02 16:00:00,2017-03-02 17:00:00
NetSys Seminar Series Speaker: Vlad Kolesnikov Enabling data sharing with secure computation,None,Donald Bren Hall 6011  Host: Stanislaw Jarecki ,2017-03-03 11:00:00,2017-03-03 12:00:00
ISR Distinguished Speaker: Alessandro (Alex) Orso,None,DBH 6011 ,2017-03-03 14:00:00,2017-03-03 15:00:00
ISG Seminar Series Speaker:  Alon Halevy (Recruit Institute of Technology)  Title of Talk: From Data Integration to Happiness ,None,Donard Bren Hall 3011 Host: Mike Carey,2017-03-03 15:00:00,2017-03-03 16:00:00
OC ACM Chapter Meeting - Cyber Attacks & Defenses,None,The Cove 5141 California Ave.  Ste 200  Irvine  CA,2017-03-08 18:30:00,2017-03-08 21:00:00
ISG Seminar Series: Speaker: Bart Thomee  Software Engineer  Google.  Title of Talk: Exploring the World through Photos,None,Donald Bren Hall 3011 THURSDAY Host: Ramesh Jain,2017-03-09 15:00:00,2017-03-09 16:00:00
Statistics Seminar -  Francesco Stingo Statistics Department University of Florence  Italy,None,6011 Bren Hall (Bldg #314 on campus map),2017-03-09 16:00:00,2017-03-09 17:00:00
NetSys Seminar Series Speaker Tam Vu - University of Colorado  Denver Title: Wireless and Wearable Cyber-Physical System for Non-invasive Sleep Quality Monitoring,None,DBH 6011 Host: Ardalan Amiri Sani,2017-03-10 11:00:00,2017-03-10 12:00:00
FRIDAY INFORMATICS SEMINAR - Dr. Jacki O’Neill  Microsoft Research,None,6011 Donald Bren Hall ,2017-03-10 14:00:00,2017-03-10 16:00:00
2017 ICS 163 Computer Games Science - Capstone Games Showcase,None,Bren Hall Room 6011 ,2017-03-15 15:00:00,2017-03-15 17:00:00
Digital War Symposium,None,Humanities Gateway 1030 ,2017-03-17 09:00:00,2017-03-17 13:00:00
FRIDAY INFORMATICS SEMINAR - Assistant Professor Gillian Smith  Northeastern University  ,None,6011 Donald Bren Hall ,2017-03-17 14:00:00,2017-03-17 16:00:00
Statistics Seminar -  Francesco Stingo Statistics Department University of Florence  Italy,None,6011 Bren Hall (Bldg #314 on campus map),2017-03-17 16:00:00,2017-03-17 17:00:00
ISG Seminar Series Speaker: Hector Garcia-Molina (Stanford University)  Title of Talk: Data Crowdsourcing: Is It For Real?,None,Donald Bren Hall 6011  Host: Mike Carey,2017-04-14 11:00:00,2017-04-14 12:00:00
ISG Seminar Series: Speaker: Hector Garcia-Molina  Stanford University,None,Donald Bren Hall 6011  Host: Mike Carey,2017-04-14 11:00:00,2017-04-14 12:00:00
ISR Research Forum with Keynotes Dr. Owen O'Malley  Co-Founder and Technical Fellow  Hortonworks  and Dr. Peri Tarr  Principal Research Staff Member  IBM T.J. Watson Research Center  ,None,DBH 6011 ,2017-06-02 09:00:00,2017-06-02 17:30:00
